senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval3.d001.s033.t000	2) an item that is an instance of some type.In the given sentence, "pieces" refers to individual units or
senseval3.d001.s033.t001	3) (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or
senseval3.d001.s033.t004	1) a statement that is assumed to be true and from which a conclusion can be drawn
senseval3.d001.s033.t005	2) belong to or relating to the Democratic Party
senseval3.d001.s033.t007	1) disposed or inclined towardThis definition best captures the meaning of "willing" in the given sentence, which indicates
senseval3.d001.s033.t008	1) carry out or participate in an activity; be involved in
senseval3.d001.s033.t009	2) of or belonging to or characteristic of a particular locality or neighborhood.In the sentence, "local" refers to something
senseval3.d001.s033.t011	1) relating to or belonging to the Republican Party
senseval3.d001.s033.t012	1) an associate that one works with.In the sentence, "colleagues" refers to people who work together in
senseval3.d001.s034.t000	3) before another in time, space, or importance.This definition captures the meaning of "first" in the given sentence
senseval3.d001.s034.t002	2) discover or determine the existence, presence, or fact ofThis definition best fits the context of the sentence, as
senseval3.d001.s034.t006	2) particular to a given individual.This definition best fits the context of the sentence, as it refers to something that belongs
senseval3.d001.s034.t007	1) personnel who assist their superior in carrying out an assigned task
senseval3.d001.s034.t008	1) a sum of money allocated for a particular purpose.
senseval3.d001.s034.t009	1) a member of the Democratic Party
senseval3.d001.s035.t000	1) the point or degree to which something extends
senseval3.d001.s035.t001	1) of first rank or importance or value; direct and immediate rather than secondaryThis definition best captures the meaning of "
senseval3.d001.s035.t002	2) work that you are obliged to perform for moral or legal reasons
senseval3.d001.s035.t003	1) concerning or affecting a particular person or his or her private life and personality
senseval3.d001.s035.t004	1) personnel who assist their superior in carrying out an assigned task
senseval3.d001.s035.t005	2) engage as a participantIn this sentence, "involves" means to be a part of or to be
senseval3.d001.s035.t006	1) relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
senseval3.d001.s035.t008	3) to state or express brieflyThe sentence is saying that to the extent that the primary duty of personal staff involves local
senseval3.d001.s035.t009	3) of or relating to the profession of governingThis definition best fits the context of the sentence, as it refers to
senseval3.d001.s035.t010	2) the rational investigation of questions about existence and knowledge and ethics.This definition captures the meaning of "philosophy"
senseval3.d001.s035.t011	3) tend to or result in
senseval3.d001.s035.t013	1) a member of the Republican Party
senseval3.d001.s035.t014	2) limited in size or scope.In the given sentence, "narrow" is used to describe the constituent concerns,
senseval3.d001.s035.t015	2) a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes.
senseval3.d001.s035.t016	1) something that interests you because it is important or affects you.
senseval3.d001.s036.t002	1) a statement that is assumed to be true and from which a conclusion can be drawn.
senseval3.d001.s036.t003	1) well grounded in logic or truth or having legal force.
senseval3.d001.s036.t004	1) a member of the Democratic Party
senseval3.d001.s036.t005	1) have or possess, either in a concrete or an abstract sense
senseval3.d001.s036.t006	2) the frequency with which a person is present.In this sentence, "attendance" refers to the rate or proportion of
senseval3.d001.s036.t007	4) a quantity or amount or measure considered as a proportion of another quantity or amount or measure.In this context, "
senseval3.d001.s036.t009	1) a choice that is made by counting the number of people in favor of each alternative
senseval3.d001.s036.t010	1) a member of the Republican Party
senseval3.d001.s036.t011	1) the point or degree to which something extends
senseval3.d001.s036.t013	1) a choice that is made by counting the number of people in favor of each alternative.This definition directly refers to the
senseval3.d001.s036.t014	6) give evidence of a certain behaviorIn the given sentence, "reflect" is used to mean to show or indicate
senseval3.d001.s036.t015	1) of or relating to or belonging to a nation or country
senseval3.d001.s036.t016	2) a line of argument rationalizing the course of action of a government.This definition fits the context of the sentence,
senseval3.d001.s036.t017	1) the act that results in something coming to be.This definition of "making" is the most suitable for the context
senseval3.d001.s036.t020	1) a choice that is made by counting the number of people in favor of each alternative.This definition accurately describes the meaning
senseval3.d001.s036.t021	2) a period of time considered as a resource under your control and sufficient to accomplish something.This definition is the most suitable
senseval3.d001.s036.t023	2) dedicate
senseval3.d001.s036.t024	2) of or belonging to or characteristic of a particular locality or neighborhood.In this context, "local" refers to something
senseval3.d001.s037.t001	4) give evidence ofThe word "indicate" is primarily a verb meaning to show or provide evidence of something,
senseval3.d001.s037.t002	The most suitable dictionary definition which identifies the meaning of "case" in the given sentence is:3) a comprehensive term for
senseval3.d001.s038.t000	2) belong to or relating to the Democratic Party
senseval3.d001.s038.t001	1) the act of being present (at a meeting or event etc.)This definition best matches the context of the sentence,
senseval3.d001.s038.t002	4) a quantity or amount or measure considered as a proportion of another quantity or amount or measure.This definition best fits the
senseval3.d001.s038.t004	1) relating to the Republican PartyThis definition directly refers to the party affiliation, which is relevant to the context of the
senseval3.d001.s038.t005	2) the frequency with which a person is present.This definition best captures the meaning of "attendance" in the given sentence
senseval3.d001.s038.t006	4) a quantity or amount or measure considered as a proportion of another quantity or amount or measure.In this sentence, "
senseval3.d001.s039.t000	4) make visible or noticeableIn the sentence, "Finally, as shown in the table" means that the information in
