senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval3.d002.s092.t001	Situated, occurring, or done below the surface of the earth.
senseval3.d002.s092.t002	An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
senseval3.d002.s092.t003	A place where a particular activity or service is concentrated or provided, especially a place where people go for a particular service or activity
senseval3.d002.s092.t006	To strike or come into contact with something forcefully; to impact.
senseval3.d002.s093.t000	To have spoken or expressed something in words.
senseval3.d002.s093.t001	Electronic devices for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
senseval3.d002.s093.t005	To move smoothly along a surface while maintaining continuous contact with it.
senseval3.d002.s093.t006	The bottom surface of a room on which one stands and walks, typically covering a whole room and made of wood, concrete,
senseval3.d002.s094.t000	The day of the present time; the day of the day of which one is speaking or writing.
senseval3.d002.s094.t002	Human beings regarded collectively, especially as a distinct group or class.
senseval3.d002.s094.t003	To become fully aware of something as a fact; to understand clearly.
senseval3.d002.s094.t004	Difficult; not easy to do, endure, or overcome.
senseval3.d002.s094.t005	The condition that an individual organism has of being alive and able to function, grow, and reproduce. It can also refer to
senseval3.d002.s097.t000	Arrived at a place; reached a destination.
senseval3.d002.s097.t001	A place where one lives; a residence.
senseval3.d002.s097.t002	To allow (someone or something) to go somewhere or do something: "let the dogs out"
senseval3.d002.s097.t003	Domesticated carnivorous mammals (Canis lupus familiaris) that typically have a long snout, an acute sense
senseval3.d002.s097.t004	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval3.d002.s097.t005	To become aware of (something) by using one's sight or hearing.
senseval3.d002.s097.t006	Audible vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear
senseval3.d002.s097.t007	The upper part of the human body, from the top of the neck to the top of the skull, where the brain is
senseval3.d002.s097.t009	To move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once
senseval3.d002.s097.t010	The top covering of a building, ship, or vehicle, typically made of tiles, shingles, or metal, that provides
senseval3.d002.s098.t000	To become aware of (something) by using one's sight or senses.
senseval3.d002.s098.t001	A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor and able to carry a small number
senseval3.d002.s098.t002	To spring back after hitting something; rebound: a ball bouncing off the wall.
senseval3.d002.s099.t000	Understood or became fully aware of something.
senseval3.d002.s099.t001	An event or situation that is taking place or has taken place, especially one that is significant or noteworthy.
senseval3.d002.s099.t002	To utter a loud, sharp, piercing sound made by forcing air through a constricted throat, typically as an expression of a
senseval3.d002.s099.t003	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval3.d002.s099.t004	Domesticated carnivorous mammals (Canis lupus familiaris) that typically have a long snout, an acute sense
senseval3.d002.s100.t001	Hinged or sliding coverings for the opening of a cupboard, closet, cabinet, or the like, typically made of wood
senseval3.d002.s100.t007	A unit of length equal to 12 inches or approximately 0.3048 meters, used especially in the United States and
senseval3.d002.s100.t008	Domesticated carnivorous mammals (Canis lupus familiaris) that typically have a long snout, an acute sense
senseval3.d002.s100.t009	To move or approach (someone or something) in order to take hold of or attack; move toward or in the direction of
senseval3.d002.s100.t011	A domesticated carnivorous mammal (Canis lupus familiaris) that typically has a long snout, an acute
senseval3.d002.s100.t012	To be in or assume an upright position on the feet.
senseval3.d002.s100.t014	Observing attentively; looking at or studying something or someone carefully or for a long time.
senseval3.d002.s100.t015	Situated or occurring beyond or in the open air; not within an enclosed space.
senseval3.d002.s100.t016	To move rhythmically to music, typically following a set sequence of steps, or to move in a way that seems to have
senseval3.d002.s101.t000	Understood or became fully aware of (something) as a result of thought or perception.
senseval3.d002.s101.t001	To move from one place to another: proceeded to a destination.
senseval3.d002.s101.t002	To be in or assume an upright position on one's feet.
senseval3.d002.s101.t004	A building for human habitation, especially one that is lived in by a family or small group of people.
senseval3.d002.s101.t005	Staying in one place or delaying action until a particular time or event occurs.
senseval3.d002.s101.t006	Acting or speaking to God or another deity, typically asking for something or expressing thanks.
senseval3.d002.s101.t007	To approach or move toward a specified place or person; arrive at.
senseval3.d002.s101.t008	A place where one lives; a residence.
senseval3.d002.s101.t010	Arrived at a place or achieved a state or condition.
senseval3.d002.s102.t000	The period during which an individual lives; the time from one's birth to one's death.
senseval3.d002.s103.t000	Perceived with the eyes; looked at or observed.
senseval3.d002.s103.t001	Representations of a person, object, or scene in the form of a drawing, painting, photograph, or other work of
senseval3.d002.s103.t002	Started to do something; commenced.
senseval3.d002.s103.t003	To shed tears, typically as an expression of distress, pain, or emotion.
